No;Unit Kerja;Kecamatan;Dr Spesialis;Dokter;Dokter Gigi;Dokter Gigi Spesialis;Tenaga Keperawatan;Tenaga Kebidanan;Tenaga Kesehatan Masyarakat;Tenaga Kesehatan Lingkungan;Tenaga Gizi;Ahli Teknologi Laboratorium Medik;Tenaga Teknik Biomedika Lainnya;Keterapian Fisik;Keteknisian Medis;Tenaga Teknis Kefarmasian;Apoteker;Pejabat Struktural;Tenaga Dukungan Manajemen;Hipertensi;Diabetes Mellitus;TBC;ISPA;Stroke;Pneumonia;Malaria;Demam Berdarah;Hepatitis;Kanker;Gagal Ginjal;Asma;Osteoarthritis
1;Puskesmas Pondok Gede;Pondok Gede;-;3;2;-;6;13;2;1;1;2;-;1;1;1;-;7;15;0;7;0;15;20;0;8;3;0;3;12;5;26
2;Puskesmas Jati Makmur;Pondok Gede;-;2;2;-;5;5;1;1;1;1;-;-;1;1;-;9;12;0;6;0;10;18;0;6;2;5;2;10;4;15
3;Puskesmas Jati Bening;Pondok Gede;-;2;2;-;5;6;1;1;1;2;-;-;1;1;-;11;13;0;6;5;12;19;0;7;2;8;2;11;4;15
4;Puskesmas Jati Bening Baru;Pondok Melati;-;3;2;-;4;8;1;1;1;1;-;2;1;-;-;9;14;0;6;8;14;21;0;7;3;3;5;26;42;19
5;Puskesmas Jati Rahayu;Pondok Gede;-;3;2;-;5;5;1;1;1;2;-;1;1;1;-;15;11;0;5;5;9;16;0;5;2;2;19;31;4;30
6;Puskesmas Jati Warna;Jatisampurna;-;2;3;-;7;9;1;1;1;1;-;3;2;-;-;14;16;0;7;5;16;22;0;9;3;5;4;62;7;45
7;Puskesmas Jati Sampurna;Jatisampurna;-;4;2;-;10;13;1;2;1;2;-;-;1;1;-;12;18;0;8;0;18;25;0;10;4;0;5;73;8;50
8;Puskesmas Jati Karya;Jatiasih;-;2;1;-;3;9;-;1;1;1;-;-;2;1;-;6;10;0;5;0;8;15;0;5;2;0;18;31;4;28
9;Puskesmas Jati Ranggon;Jatisampurna;-;1;2;-;2;6;1;1;-;1;-;1;1;-;-;7;9;0;4;5;7;14;0;4;1;8;17;21;3;25
10;Puskesmas Jati Asih;Jatiasih;-;4;2;-;6;8;-;-;1;1;1;1;1;-;-;19;17;0;7;8;17;24;0;9;3;8;4;62;7;48
11;Puskesmas Jati Mekar;Rawalumbu;-;1;1;-;2;6;1;1;-;1;-;-;2;-;-;12;9;0;5;4;8;14;5;4;1;9;18;21;3;26
12;Puskesmas Jati Kramat;Rawalumbu;-;2;1;-;4;7;1;-;-;2;-;-;2;-;-;6;11;5;5;8;10;17;6;24;2;9;31;43;3;33
13;Puskesmas Jati Luhur;Bekasi Timur;-;4;2;-;4;9;3;2;1;1;-;1;-;2;-;14;15;5;7;2;14;21;5;8;3;3;12;25;26;43
